Linux 6.8.12+ (sendai) 	11/07/2025 	_x86_64_	(6 CPU)

01:34:29 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:34:35 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     4  systemd-journal
01:34:35 PM   111   3371286    2.00    3.00    0.00    0.00    5.00     0  netdata
01:34:35 PM   111   3371663    0.00    0.00    0.00    0.00    0.00     0  bash
01:34:35 PM   111   3371682    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:34:35 PM   111   3371683    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:34:35 PM   111   3371684    0.00    1.00    0.00    0.00    1.00     0  apps.plugin
01:34:35 PM   111   3371686    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:34:35 PM   111   3371691    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:34:35 PM   111   3371696    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:34:35 PM   111   3371698    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:34:35 PM   111   3371707    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:34:35 PM  1000   3371896    0.00    0.00    0.00    0.00    0.00     2  ssh
01:34:35 PM  1000   3371897    0.00    0.00    0.00    0.00    0.00     5  sh

01:34:35 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:34:36 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     4  systemd-journal
01:34:36 PM   111   3371286    1.00    0.00    0.00    0.00    1.00     0  netdata
01:34:36 PM   111   3371663    0.00    1.00    0.00    0.00    1.00     0  bash
01:34:36 PM   111   3371682    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:34:36 PM   111   3371683    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:34:36 PM   111   3371684    0.00    1.00    0.00    0.00    1.00     0  apps.plugin
01:34:36 PM   111   3371686    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:34:36 PM   111   3371691    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:34:36 PM   111   3371696    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:34:36 PM   111   3371698    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:34:36 PM   111   3371707    0.00    1.00    0.00    0.00    1.00     0  debugfs.plugin
01:34:36 PM  1000   3371896    0.00    0.00    0.00    0.00    0.00     2  ssh
01:34:36 PM  1000   3371897    0.00    0.00    0.00    0.00    0.00     5  sh

01:34:36 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:34:37 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     4  systemd-journal
01:34:37 PM   111   3371286    0.00    1.00    0.00    0.00    1.00     0  netdata
01:34:37 PM   111   3371663    0.00    0.00    0.00    0.00    0.00     0  bash
01:34:37 PM   111   3371682    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:34:37 PM   111   3371683    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:34:37 PM   111   3371684    1.00    1.00    0.00    0.00    2.00     0  apps.plugin
01:34:37 PM   111   3371686    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:34:37 PM   111   3371691    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:34:37 PM   111   3371696    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:34:37 PM   111   3371698    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:34:37 PM   111   3371707    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:34:37 PM  1000   3371896    0.00    0.00    0.00    0.00    0.00     2  ssh
01:34:37 PM  1000   3371897    0.00    0.00    0.00    0.00    0.00     5  sh

01:34:37 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:34:38 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     4  systemd-journal
01:34:38 PM   111   3371286    1.00    0.00    0.00    0.00    1.00     0  netdata
01:34:38 PM   111   3371663    0.00    0.00    0.00    0.00    0.00     0  bash
01:34:38 PM   111   3371682    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:34:38 PM   111   3371683    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:34:38 PM   111   3371684    0.00    1.00    0.00    0.00    1.00     0  apps.plugin
01:34:38 PM   111   3371686    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:34:38 PM   111   3371691    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:34:38 PM   111   3371696    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:34:38 PM   111   3371698    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:34:38 PM   111   3371707    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:34:38 PM  1000   3371896    0.00    0.00    0.00    0.00    0.00     2  ssh
01:34:38 PM  1000   3371897    0.00    0.00    0.00    0.00    0.00     5  sh

01:34:38 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:34:39 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     4  systemd-journal
01:34:39 PM   111   3371286    0.00    1.00    0.00    0.00    1.00     0  netdata
01:34:39 PM   111   3371663    0.00    0.00    0.00    0.00    0.00     0  bash
01:34:39 PM   111   3371682    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:34:39 PM   111   3371683    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:34:39 PM   111   3371684    0.00    1.00    0.00    0.00    1.00     0  apps.plugin
01:34:39 PM   111   3371686    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:34:39 PM   111   3371691    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:34:39 PM   111   3371696    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:34:39 PM   111   3371698    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:34:39 PM   111   3371707    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:34:39 PM  1000   3371896    0.00    0.00    0.00    0.00    0.00     2  ssh
01:34:39 PM  1000   3371897    0.00    0.00    0.00    0.00    0.00     5  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0   1946633    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111   3371286    2.00    3.80    0.00    0.00    5.79     -  netdata
Average:      111   3371663    0.10    0.10    0.00    0.10    0.20     -  bash
Average:      111   3371682    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:      111   3371683    0.00    0.00    0.00    0.00    0.00     -  nfacct.plugin
Average:      111   3371684    0.20    0.80    0.00    0.00    1.00     -  apps.plugin
Average:      111   3371686    0.00    0.00    0.00    0.00    0.00     -  NETWORK-VIEWER
Average:      111   3371691    0.20    0.10    0.00    0.00    0.30     -  go.d.plugin
Average:      111   3371696    0.00    0.00    0.00    0.00    0.00     -  ebpf.plugin
Average:      111   3371698    0.00    0.00    0.00    0.00    0.00     -  sd-jrnl.plugin
Average:      111   3371707    0.00    0.10    0.00    0.00    0.10     -  debugfs.plugin
Average:     1000   3371896    0.80    0.00    0.00    0.00    0.80     -  ssh
Average:     1000   3371897    0.00    0.00    0.00    0.00    0.00     -  sh
